,epoch,train_loss,val_loss
0,1,1734.862693786621,0.0
1,2,1437.7748365402222,0.0
2,3,1384.8752193450928,0.0
3,4,1381.3349051475525,0.0
4,5,1335.1403770446777,0.0
5,6,1257.7765560150146,0.0
6,7,1156.5928707122803,0.0
7,8,1095.7870683670044,0.0
8,9,1062.3510193824768,0.0
9,10,1031.8640999794006,1014.346616268158
10,11,996.5604820251465,0.0
11,12,965.6463513374329,0.0
12,13,948.7221112251282,0.0
13,14,921.618700504303,0.0
14,15,896.7209649085999,0.0
15,16,887.1828970909119,0.0
16,17,864.8885760307312,0.0
17,18,853.1727795600891,0.0
18,19,840.4521913528442,0.0
19,20,829.4681231975555,835.1840531826019
20,21,816.8554065227509,0.0
21,22,807.5499939918518,0.0
22,23,797.9197776317596,0.0
23,24,783.4751632213593,0.0
24,25,771.898485660553,0.0
25,26,763.5371570587158,0.0
26,27,754.6393167972565,0.0
27,28,748.1728477478027,0.0
28,29,739.1097416877747,0.0
29,30,727.9774971008301,752.6338436603546
30,31,721.7773997783661,0.0
31,32,716.2722506523132,0.0
32,33,704.6275398731232,0.0
33,34,704.0985379219055,0.0
34,35,697.7456922531128,0.0
35,36,689.1564633846283,0.0
36,37,688.1409223079681,0.0
37,38,675.9389941692352,0.0
38,39,672.95032787323,0.0
39,40,664.3763909339905,704.9156720638275
40,41,655.0716998577118,0.0
41,42,656.9143862724304,0.0
42,43,652.8639979362488,0.0
43,44,643.5635762214661,0.0
44,45,641.1439423561096,0.0
45,46,636.7636842727661,0.0
46,47,638.576092004776,0.0
47,48,631.687258720398,0.0
48,49,622.9238185882568,0.0
49,50,620.4893488883972,684.8890039920807
50,51,615.0621721744537,0.0
51,52,616.5940556526184,0.0
52,53,613.6795220375061,0.0
53,54,606.1342833042145,0.0
54,55,613.4676542282104,0.0
55,56,600.7506577968597,0.0
56,57,595.2763776779175,0.0
57,58,591.4788200855255,0.0
58,59,592.6123995780945,0.0
59,60,590.64488530159,663.8606901168823
60,61,579.7301564216614,0.0
61,62,579.1459863185883,0.0
62,63,578.0594470500946,0.0
63,64,577.8132281303406,0.0
64,65,572.915745973587,0.0
65,66,576.946188211441,0.0
66,67,569.9282653331757,0.0
67,68,564.8115577697754,0.0
68,69,559.847288608551,0.0
69,70,556.3408839702606,643.5108981132507
70,71,560.6154706478119,0.0
71,72,551.4206211566925,0.0
72,73,554.1555438041687,0.0
73,74,553.0183258056641,0.0
74,75,550.0771923065186,0.0
75,76,548.5861988067627,0.0
76,77,543.1247162818909,0.0
77,78,540.0242052078247,0.0
78,79,544.6889476776123,0.0
79,80,535.3156807422638,654.891363620758
80,81,538.9210784435272,0.0
81,82,534.7053961753845,0.0
82,83,532.602379322052,0.0
83,84,529.1394226551056,0.0
84,85,529.7945110797882,0.0
85,86,528.4569435119629,0.0
86,87,524.2910716533661,0.0
87,88,520.4893646240234,0.0
88,89,525.4269886016846,0.0
89,90,523.7386755943298,633.6330518722534
90,91,509.19719433784485,0.0
91,92,513.6326560974121,0.0
92,93,512.3300218582153,0.0
93,94,509.4671006202698,0.0
94,95,511.6460020542145,0.0
95,96,503.7054009437561,0.0
96,97,504.5761282444,0.0
97,98,502.199364900589,0.0
98,99,508.0560505390167,0.0
99,100,499.7842619419098,628.6235685348511
100,101,497.09053802490234,0.0
